date,pm25
2023/4/1,64
2023/4/2,53
2023/4/3,60
2023/4/4,98
2023/1/2,345
2023/1/3,328
2023/1/4,475
2023/1/12,1
2023/1/13,1
2023/1/17,200
2023/1/25,126
2023/3/6,49
2023/3/7,69
2023/3/8,40
2023/3/9,51
2023/3/10,53
2023/3/11,80
2023/3/12,84
2023/3/13,67
2023/3/14,46
2023/3/15,53
2023/3/16,71
2023/3/17,68
2023/3/18,53
2023/3/19,60
2023/3/20,38
2023/3/21,28
2023/3/22,66
2023/3/23,41
2023/3/24,56
2023/3/25,36
2023/3/26,27
2023/3/27,42
2023/3/28,32
2023/3/29,33
2023/3/30,56
2023/3/31,73
2022/10/1,33
2022/10/2,51
2022/10/3,63
2022/10/4,37
2022/10/5,63
2022/12/10,136
2022/12/12,109
2022/12/13,136
2022/12/14,160
2022/12/15,154
2022/12/16,167
2022/12/31,288
2023/1/1,386
2022/7/1,70
2022/7/2,62
2022/7/3,95
2022/7/4,58
2022/7/5,62
2022/7/6,79
2022/7/7,61
2022/7/8,71
2022/7/9,66
2022/7/10,72
2022/7/11,63
2022/7/12,58
2022/7/13,63
2022/7/14,56
2022/7/15,53
2022/7/16,54
2022/7/17,58
2022/7/18,60
2022/7/19,63
2022/7/20,62
2022/7/21,71
2022/7/22,67
2022/7/23,58
2022/7/24,62
2022/7/25,71
2022/7/26,54
2022/7/27,54
2022/7/28,58
2022/7/29,59
2022/7/30,62
2022/7/31,59
2022/8/1,63
2022/8/2,88
2022/8/3,69
2022/8/4,57
2022/8/5,55
2022/8/6,61
2022/8/7,52
2022/8/8,55
2022/8/9,54
2022/8/10,51
2022/8/11,54
2022/8/12,59
2022/8/13,66
2022/8/14,61
2022/8/15,62
2022/8/16,56
2022/8/17,56
2022/8/18,61
2022/8/19,56
2022/8/20,60
2022/8/21,80
2022/8/22,59
2022/8/23,61
2022/8/24,63
2022/8/25,73
2022/8/26,52
2022/8/27,56
2022/8/28,55
2022/8/29,62
2022/8/30,51
2022/8/31,38
2022/9/1,40
2022/9/2,43
2022/9/3,33
2022/9/4,53
2022/9/5,45
2022/9/6,42
2022/9/7,43
2022/9/8,38
2022/9/9,39
2022/9/10,50
2022/9/11,56
2022/9/12,44
2022/9/13,49
2022/9/14,57
2022/9/15,47
2022/9/16,38
2022/9/17,60
2022/9/18,46
2022/9/19,51
2022/9/20,55
2022/9/21,65
2022/9/22,67
2022/9/23,59
2022/9/24,50
2022/9/25,47
2022/9/26,48
2022/9/27,56
2022/9/28,55
2022/9/29,64
2022/9/30,43
2022/4/1,97
2022/4/2,85
2022/4/3,76
2022/4/4,78
2022/4/5,68
2022/4/6,94
2022/4/7,99
2022/4/8,85
2022/4/9,75
2022/4/10,106
2022/4/11,49
2022/4/12,64
2022/4/13,78
2022/4/14,53
2022/4/15,34
2022/4/16,57
2022/4/17,42
2022/4/18,91
2022/4/19,97
2022/4/20,47
2022/4/21,89
2022/4/22,83
2022/4/23,24
2022/4/24,60
2022/4/25,87
2022/4/26,42
2022/4/27,44
2022/4/28,93
2022/4/29,82
2022/4/30,106
2022/5/1,39
2022/5/2,37
2022/5/3,56
2022/5/4,46
2022/5/5,86
2022/5/6,83
2022/5/7,111
2022/5/8,84
2022/5/9,72
2022/5/10,108
2022/5/11,70
2022/5/12,41
2022/5/13,77
2022/5/14,61
2022/5/15,68
2022/5/16,54
2022/5/17,87
2022/5/18,58
2022/5/19,62
2022/5/20,48
2022/5/21,70
2022/5/22,85
2022/5/23,96
2022/5/24,62
2022/5/25,40
2022/5/26,47
2022/5/27,66
2022/5/28,60
2022/5/29,39
2022/5/30,57
2022/5/31,57
2022/6/1,65
2022/6/2,47
2022/6/3,77
